,state,year,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
103,Puerto Rico,2012,24628,8.268463874655621,26350.0,8.84659830669058,2978546
104,Mississippi,2013,44947,18.92063914354294,24871.0,10.469557837876975,2375554
105,Missouri,2013,86845,17.794338062713027,47189.0,9.668916101575972,4880485
106,Montana,2013,15201,18.332370545195364,8437.0,10.17500232154551,829189
107,Nebraska,2013,28850,19.507491620568807,14552.0,9.83961934358812,1478919
108,Nevada,2013,40826,18.229286434126355,25559.0,11.412392396263053,2239583
109,New Hampshire,2013,16881,15.294626087571045,10504.0,9.516897839218425,1103721
110,New Jersey,2013,101756,14.068486747299113,48883.0,6.758420512483024,7232903
111,New Mexico,2013,30953,18.64042285268989,15216.0,9.163333897409926,1660531
112,New York,2013,228961,14.179106927004733,106259.0,6.58041204815054,16147773
113,North Carolina,2013,144236,18.168891737409403,72467.0,9.128408147306132,7938624
114,North Dakota,2013,14526,24.72599020560735,4213.0,7.1713201663378605,587479
115,Ohio,2013,147196,15.681916075391582,81104.0,8.640629646040374,9386353
116,Oklahoma,2013,68718,22.504666775831012,38089.0,12.473882429998362,3053500
117,Oregon,2013,53049,16.479148746613635,32319.0,10.039578660140739,3219159
118,Pennsylvania,2013,160563,15.23410759599059,75772.0,7.189195523024601,10539705
119,Rhode Island,2013,12500,14.250015960017876,6196.0,7.063447911061661,877192
120,South Carolina,2013,64870,16.750379833647838,33292.0,8.596479812267672,3872748
121,South Dakota,2013,15570,23.280119495642264,5722.0,8.55548129441651,668811
122,Tennessee,2013,96050,18.277385441420265,57287.0,10.901161684358591,5255128
123,Texas,2013,413464,20.122580791166122,209297.0,10.186124528008959,20547265
124,Vermont,2013,9051,17.208827438297483,3665.0,6.968329749349274,525951
125,Utah,2013,54618,25.50412414267143,21390.0,9.988158032365556,2141536
126,Virginia,2013,124054,18.493531646771668,59413.0,8.857079946875112,6707967
127,Washington,2013,111994,19.857152051699448,57343.0,10.167229227463983,5639983
128,West Virginia,2013,24731,16.08385377747168,16518.0,10.74251331107829,1537629
129,Wisconsin,2013,68631,14.721923161818884,38554.0,8.2701552590049,4661823
130,Wyoming,2013,8591,18.50308312926313,5004.0,10.777491325670201,464301
131,Puerto Rico,2013,19835,6.711961266552336,18304.0,6.193886514896595,2955172
132,Alabama,2013,70223,17.955263592566396,47974.0,12.266434296310047,3910998
133,Alaska,2013,12186,21.14233863482188,5152.0,8.938562994141009,576379
134,Arizona,2013,88102,16.682544073769634,47265.0,8.949858637110642,5281089
135,Arkansas,2013,51882,21.94782389453944,29892.0,12.645317294159304,2363879
136,California,2013,517421,16.83608797517393,236582.0,7.698016441819327,30732852
137,Colorado,2013,92616,21.922622723583366,46730.0,11.061200655103336,4224677
138,Delaware,2013,14047,18.609932009559998,5248.0,6.952724651966317,754812
139,District of Columbia,2013,11637,21.153951027976223,5168.0,9.394484739415752,550110
140,Connecticut,2013,43067,14.572648545966594,20806.0,7.040158953430259,2955331
