,index,state,year,V_actual,V_clearance_actual,ASS_actual,ASS_clearance_actual,BUR_actual,BUR_clearance_actual,LAR_actual,LAR_clearance_actual,MVT_actual,MVT_clearance_actual,HOM_actual,HOM_clearance_actual,RPE_actual,RPE_clearance_actual,ROB_actual,ROB_clearance_actual,ARS_actual,ARS_clearance_actual,P_actual,P_clearance_actual,V_rate,V_clearance_rate,population,participated_population,ASS_rate,ASS_clearance_rate,BUR_rate,BUR_clearance_rate,LAR_rate,LAR_clearance_rate,MVT_rate,MVT_clearance_rate,HOM_rate,HOM_clearance_rate,RPE_rate,RPE_clearance_rate,ROB_rate,ROB_clearance_rate,ARS_rate,ARS_clearance_rate,P_rate,P_clearance_rate,Unnamed: 0,married_last_year,marriage_rate_per_1000,divorced_last_year,divorce_rate_per_1000,population_over_15
0,26,Alabama,2011,19666.0,7716.0,13204.0,5611.0,49629.0,6368.0,108787.0,23068.0,10426.0,2155.0,296.0,151.0,1326.0,532.0,4840.0,1422.0,795.0,166.0,169637.0,31757.0,35.086666666666666,13.766666666666666,4802740.0,4669390.0,23.559166666666666,10.012500000000001,88.52916666666665,11.359166666666667,194.08166666666668,41.156666666666666,18.60333333333333,3.845,0.5283333333333333,0.26916666666666667,2.3675,0.9500000000000001,8.631666666666666,2.535,1.4183333333333332,0.295,302.635,56.65916666666667,0,75517,19.48947521367786,50452.0,13.020684130466988,3874758
1,27,Alabama,2012,21148.0,7262.0,14612.0,5488.0,46176.0,5399.0,108195.0,22184.0,9630.0,1821.0,336.0,129.0,1265.0,451.0,4935.0,1194.0,1040.0,172.0,165041.0,29576.0,37.85916666666667,12.950833333333334,4822023.0,4671728.75,26.139166666666668,9.7875,82.64333333333333,9.625833333333334,193.63250000000002,39.5675,17.243333333333336,3.2475,0.6024999999999999,0.23083333333333333,2.2608333333333333,0.805,8.853333333333333,2.129166666666667,1.8583333333333334,0.3075,295.37916666666666,52.74666666666667,52,75260,19.366659289872004,43374.0,11.161433431290304,3886060
2,28,Alabama,2013,19725.0,8953.0,13041.0,6263.0,39860.0,5853.0,103176.0,25400.0,10066.0,2305.0,295.0,197.0,1960.0,818.0,4429.0,1675.0,761.0,137.0,153863.0,33695.0,36.303333333333335,16.4725,4833722.0,4527268.333333333,23.996666666666666,11.5225,73.38916666666667,10.764166666666666,190.06416666666667,46.76916666666667,18.541666666666668,4.241666666666666,0.5458333333333333,0.36166666666666664,3.605833333333333,1.505,8.1575,3.0841666666666665,1.4041666666666668,0.2508333333333333,283.4025,62.02666666666667,132,70223,17.955263592566396,47974.0,12.266434296310049,3910998
3,29,Alabama,2014,19603.0,8945.0,12970.0,6209.0,37397.0,5496.0,98385.0,25870.0,9607.0,2517.0,269.0,152.0,1884.0,890.0,4480.0,1694.0,1245.0,214.0,146634.0,34097.0,35.589166666666664,16.234166666666667,4849377.0,4590482.916666667,23.540000000000003,11.268333333333333,67.89999999999999,9.9725,178.61916666666664,46.93833333333333,17.445833333333333,4.566666666666666,0.48833333333333334,0.2758333333333333,3.419166666666667,1.6133333333333333,8.139166666666666,3.0775,2.2616666666666667,0.38666666666666666,266.22583333333336,61.86666666666667,156,71382,18.15427702070669,38997.0,9.917939270075072,3931966
4,30,Alabama,2015,22117.0,8915.0,15315.0,6331.0,33854.0,4886.0,95735.0,23374.0,9945.0,2608.0,343.0,178.0,1964.0,810.0,4495.0,1596.0,770.0,124.0,140304.0,30992.0,39.33166666666667,15.854166666666666,4858979.0,4686634.083333333,27.233333333333334,11.26,60.203333333333326,8.6875,170.26333333333335,41.56,17.6875,4.638333333333333,0.6083333333333333,0.3175,3.49,1.4408333333333332,7.995833333333334,2.8383333333333334,1.3675,0.22,249.52416666666667,55.10833333333333,236,66541,16.857755515043053,39540.0,10.017217250489209,3947204
5,31,Alabama,2016,25134.0,10032.0,18314.0,7429.0,33167.0,5011.0,95059.0,21954.0,11377.0,3118.0,396.0,257.0,1861.0,799.0,4563.0,1547.0,1054.0,185.0,140657.0,30268.0,44.012499999999996,17.56416666666667,4863300.0,4759516.666666667,32.07083333333333,13.009166666666667,58.07916666666666,8.775833333333333,166.43666666666667,38.43083333333333,19.921666666666667,5.458333333333333,0.6925,0.44916666666666666,3.2591666666666668,1.3983333333333334,7.989999999999999,2.706666666666667,1.845,0.32416666666666666,246.28583333333336,52.98499999999999,288,64432,16.261992942165836,35802.0,9.036067036805024,3962122
6,32,Alabama,2017,23974.0,9672.0,17728.0,7272.0,29921.0,4592.0,94484.0,21784.0,12082.0,3245.0,397.0,214.0,1926.0,808.0,3923.0,1378.0,702.0,146.0,137189.0,29767.0,43.00583333333333,17.353333333333335,4874747.0,4636689.0,31.794166666666666,13.049166666666666,53.748333333333335,8.233333333333333,169.72583333333333,39.14083333333333,21.7,5.826666666666667,0.7116666666666668,0.385,3.4575,1.4475,7.041666666666667,2.4724999999999997,1.2575,0.2625,246.4325,53.461666666666666,340,61604,15.509082798019396,40994.0,10.320423028082708,3972124
7,33,Alabama,2018,23937.0,9345.0,17775.0,7097.0,27058.0,3924.0,90390.0,20169.0,12366.0,3109.0,363.0,176.0,1924.0,735.0,3875.0,1337.0,782.0,129.0,130596.0,27331.0,43.22416666666667,16.870833333333334,4887871.0,4611180.333333333,32.079166666666666,12.8075,48.85916666666666,7.075,163.375,36.454166666666666,22.34166666666667,5.614999999999999,0.6549999999999999,0.31583333333333335,3.4716666666666662,1.3283333333333334,7.016666666666667,2.4183333333333334,1.4133333333333333,0.23500000000000001,235.99249999999998,49.3775,392,69378,17.398945650677383,39787.0,9.977973573805832,3987483
8,34,Alabama,2019,9620.0,4041.0,7415.0,3202.0,9645.0,1659.0,37776.0,10268.0,4823.0,1367.0,139.0,82.0,955.0,333.0,1111.0,424.0,4.0,3.0,52248.0,13297.0,21.0925,8.840833333333334,4903185.0,3198494.0833333335,16.18583333333333,6.979166666666667,21.24,3.595833333333333,83.98333333333333,22.71083333333333,10.6225,2.9683333333333333,0.32166666666666666,0.1925,2.1483333333333334,0.7383333333333333,2.4366666666666665,0.9316666666666666,0.012500000000000002,0.010833333333333334,115.86083333333333,29.285833333333333,460,64191,16.029844663510858,35358.0,8.829637295141328,4004468
9,36,Alabama,2021,15211.0,4532.0,12275.0,3669.0,12012.0,1518.0,43195.0,5948.0,8226.0,1122.0,422.0,188.0,1237.0,342.0,1277.0,333.0,464.0,63.0,63897.0,8651.0,28.17833333333333,8.395,5039877.0,4484350.333333333,22.734166666666667,6.796666666666667,22.24416666666667,2.8091666666666666,80.045,11.0075,15.263333333333334,2.0833333333333335,0.7833333333333333,0.34833333333333333,2.2966666666666664,0.6333333333333333,2.3658333333333332,0.6183333333333333,0.8608333333333333,0.11666666666666668,118.41250000000001,16.016666666666666,468,79040,19.214705862332856,37164.0,9.034606891039198,4113516
